Variable,Session_Title,N,Mean,Std,Min,Max,Median,P_Value,Test_Type,Significant
Jump Height,2025-07-29,100,13.25,0.29,12.83,13.65,13.27,0.0,Kruskal-Wallis,***
Jump Height,Ankle/Foot WarmUp,8085,10.1,1.23,7.74,12.19,10.17,0.0,Kruskal-Wallis,***
Jump Height,Drive Day 1-Advanced,71201,15.38,4.91,7.89,24.16,14.85,0.0,Kruskal-Wallis,***
Jump Height,Drive Day 1-Advanced Jump Athletes,1400,20.78,1.52,17.42,24.16,21.15,0.0,Kruskal-Wallis,***
Jump Height,Drive Day 1-Advanced Rotation Athletes,91769,11.83,3.67,7.89,22.33,10.12,0.0,Kruskal-Wallis,***
Jump Height,Drive Day 1-Intermediate,816,9.97,0.82,7.89,11.14,10.1,0.0,Kruskal-Wallis,***
Jump Height,Drive Day 2-Advanced,67966,15.46,4.81,9.04,24.16,14.89,0.0,Kruskal-Wallis,***
Jump Height,Drive Day 2-Advanced Jump Athletes,2800,20.78,1.52,17.42,24.16,21.15,0.0,Kruskal-Wallis,***
Jump Height,Drive Day 2-Advanced Rotation Athletes,76253,11.46,3.08,7.89,21.02,10.12,0.0,Kruskal-Wallis,***
Jump Height,Drive Day 2-Intermediate,4896,9.97,0.82,7.89,11.14,10.1,0.0,Kruskal-Wallis,***
Jump Height,Drive Day 3-Advanced,63673,15.59,4.9,7.89,24.16,15.41,0.0,Kruskal-Wallis,***
Jump Height,Drive Day 3-Advanced Jump Athletes,1400,20.78,1.52,17.42,24.16,21.15,0.0,Kruskal-Wallis,***
Jump Height,Drive Day 3-Advanced Rotation Athletes,23562,14.68,4.1,7.89,21.02,15.53,0.0,Kruskal-Wallis,***
Jump Height,Drive Day 3-Intermediate,816,9.97,0.82,7.89,11.14,10.1,0.0,Kruskal-Wallis,***
Jump Height,Explode Day 1-Advanced,89288,15.57,3.53,7.83,22.33,16.09,0.0,Kruskal-Wallis,***
Jump Height,Explode Day 1-Advanced Jump Athletes,2736,16.37,0.98,14.47,17.78,16.48,0.0,Kruskal-Wallis,***
Jump Height,Explode Day 1-Advanced Rotation Athletes,46293,12.52,2.22,7.89,22.47,12.3,0.0,Kruskal-Wallis,***
Jump Height,Explode Day 1-Intermediate,720,11.48,1.22,10.12,13.91,11.11,0.0,Kruskal-Wallis,***
Jump Height,Explode Day 2-Advanced,86024,15.65,3.59,7.83,22.33,16.09,0.0,Kruskal-Wallis,***
Jump Height,Explode Day 2-Advanced Jump Athletes,2736,16.37,0.98,14.47,17.78,16.48,0.0,Kruskal-Wallis,***
Jump Height,Explode Day 2-Advanced Rotation Athletes,50613,12.73,2.21,7.89,22.47,12.4,0.0,Kruskal-Wallis,***
Jump Height,Explode Day 2-Intermediate,544,11.7,1.3,10.12,13.91,11.55,0.0,Kruskal-Wallis,***
Jump Height,Explode Day 3-Advanced,28664,19.39,2.05,12.22,22.33,20.08,0.0,Kruskal-Wallis,***
Jump Height,Explode Day 3-Advanced Rotation Athletes,20623,12.84,2.88,7.89,21.02,11.93,0.0,Kruskal-Wallis,***
Jump Height,Fitness Day 1,25548,16.22,4.04,7.74,22.33,15.59,0.0,Kruskal-Wallis,***
Jump Height,Fitness Day 2,31343,18.18,3.15,11.56,24.16,19.43,0.0,Kruskal-Wallis,***
Jump Height,Fitness Day 3,27430,18.18,3.01,11.56,24.16,19.4,0.0,Kruskal-Wallis,***
Jump Height,Fitness Day 4,10821,18.29,3.07,11.79,22.33,20.08,0.0,Kruskal-Wallis,***
Jump Height,Keira Mirror Work,1344,15.59,0.69,14.31,16.79,15.69,0.0,Kruskal-Wallis,***
Jump Height,Knee Progression Day 1,348,14.03,0.41,13.33,14.31,14.23,0.0,Kruskal-Wallis,***
Jump Height,Knee Progression Day 2,1392,14.03,0.41,13.33,14.31,14.23,0.0,Kruskal-Wallis,***
Jump Height,Knee Progression Day 3,1392,14.03,0.41,13.33,14.31,14.23,0.0,Kruskal-Wallis,***
Jump Height,Knee Progression Day 4,696,14.03,0.41,13.33,14.31,14.23,0.0,Kruskal-Wallis,***
Jump Height,Knee Progression Day 5,160,10.79,0.58,9.77,11.53,10.92,0.0,Kruskal-Wallis,***
Jump Height,Load Day 1-Advanced,120403,13.42,3.32,7.74,22.33,12.93,0.0,Kruskal-Wallis,***
Jump Height,Load Day 1-Advanced Jump Athletes,6624,18.3,3.96,8.59,24.16,20.22,0.0,Kruskal-Wallis,***
Jump Height,Load Day 1-Advanced Rotation Athletes,10185,13.69,2.11,8.59,16.79,14.45,0.0,Kruskal-Wallis,***
